               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.067943,           0.0095476,            0.017875,             0.59129,             0.10263,             0.14562,            0.045263,            0.094435,            0.014961,            0.020604,           0.0070547,           0.0070547,           0.0070547
                 121,            0.068877,            0.009985,            0.018273,             0.81805,              0.2466,             0.29053,            0.073724,            0.095028,             0.01448,            0.023314,             0.00703,             0.00703,             0.00703
                 122,            0.071879,            0.010102,            0.016045,             0.76083,              0.2466,             0.28895,            0.063647,            0.095164,            0.014595,            0.020039,           0.0070053,           0.0070053,           0.0070053
                 123,             0.06602,           0.0089474,            0.019448,              0.7288,              0.2466,             0.26465,            0.080712,            0.091383,            0.014917,            0.021653,           0.0069805,           0.0069805,           0.0069805
                 124,            0.066739,           0.0099257,            0.012743,             0.85467,             0.19737,             0.22499,            0.096999,            0.088923,            0.015244,            0.021153,           0.0069558,           0.0069558,           0.0069558
                 125,            0.065519,           0.0092406,            0.015474,             0.69263,              0.2466,             0.25868,            0.069034,            0.091281,              0.0157,            0.023722,            0.006931,            0.006931,            0.006931
                 126,            0.069841,           0.0089623,            0.014572,             0.68715,             0.25773,             0.25416,            0.085255,            0.086668,            0.014973,            0.020389,           0.0069063,           0.0069063,           0.0069063
                 127,            0.073388,           0.0088295,            0.016641,             0.93746,             0.23026,             0.27551,             0.08409,            0.084247,            0.014948,            0.020313,           0.0068815,           0.0068815,           0.0068815
                 128,            0.067188,           0.0092939,            0.013761,             0.91367,             0.24211,             0.26806,            0.082793,            0.087483,            0.014919,            0.019926,           0.0068568,           0.0068568,           0.0068568
                 129,            0.067116,           0.0094837,            0.012005,             0.83557,              0.2466,             0.26498,            0.066935,             0.08068,            0.014444,            0.023119,            0.006832,            0.006832,            0.006832
                 130,            0.071155,           0.0091097,             0.01325,             0.64927,             0.17614,             0.19438,            0.069179,            0.085519,            0.013939,            0.021572,           0.0068073,           0.0068073,           0.0068073
                 131,             0.06945,           0.0097837,            0.014898,             0.81358,             0.22619,             0.26221,            0.057785,            0.088159,            0.013653,            0.019697,           0.0067825,           0.0067825,           0.0067825
                 132,            0.070343,           0.0093501,            0.017109,             0.83976,             0.21429,             0.23932,            0.055725,            0.089978,            0.013828,            0.019279,           0.0067577,           0.0067577,           0.0067577
                 133,            0.069805,           0.0095473,            0.016135,             0.87552,             0.23469,             0.27601,            0.093927,            0.087684,            0.014026,            0.022374,            0.006733,            0.006733,            0.006733
                 134,            0.070845,           0.0094661,            0.016547,             0.73767,              0.2218,             0.28864,             0.11609,            0.088412,            0.013902,            0.020189,           0.0067082,           0.0067082,           0.0067082
                 135,            0.068239,            0.009667,            0.015578,             0.80631,             0.20068,             0.25653,            0.086304,            0.090294,            0.014237,            0.020374,           0.0066835,           0.0066835,           0.0066835
                 136,            0.063297,           0.0092713,            0.015761,             0.87394,             0.21922,             0.30298,            0.081898,            0.088918,            0.014285,            0.021268,           0.0066587,           0.0066587,           0.0066587
                 137,            0.067727,           0.0097763,            0.014587,             0.81773,             0.14953,             0.18094,            0.092953,            0.090416,            0.014014,            0.022665,            0.006634,            0.006634,            0.006634
